wifi,mobile
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,2310
0,2268
0,1971
0,2310
0,2310
0,2310
0,2310
0,2310
0,9770
0,5282
0,2928
0,2684
0,2684
0,9770
0,9770
68381,9770
9795,9770
25419,6106
4380,7414
2242,994
1682,664
1352,9742
68381,7454
68381,4456
7500,1960
8148,9770
68381,9770
