wifi,mobile
0.500000,0.500000
0.500000,0.500000
0.500000,0.500000
0.500000,0.500000
0.500000,0.500000
0.500000,0.500000
0.500000,0.500000
0.500000,0.500000
0.500000,0.500000
0.500000,0.500000
0.500000,0.500000
0.500000,0.500000
0.500000,0.500000
0.500000,0.500000
0.500000,0.500000
0.500000,0.500000
0.500000,0.500000
0.500000,0.500000
0.500000,0.500000
0.500000,0.500000
0.500000,0.500000
0.000000,1.000000
0.000000,1.000000
0.000000,1.000000
0.000000,1.000000
0.000000,1.000000
0.000000,1.000000
0.000000,1.000000
0.000000,1.000000
0.000000,1.000000
0.000000,1.000000
0.000000,1.000000
0.000000,1.000000
0.000000,1.000000
0.000000,1.000000
0.000000,1.000000
1.000000,0.000000
1.000000,0.000000
1.000000,0.000000
0.876000,0.124000
0.448400,0.551600
0.336400,0.663600
0.270400,0.729600
1.000000,0.000000
1.000000,0.000000
1.000000,0.000000
1.000000,0.000000
1.000000,0.000000
